,index,order_id,order_date,delivered_date,customer_id,customer_name,customer_age,customer_gender,customer_segment,region,state,city,product_id,product_name,category,sub_category,brand,unit_price,quantity,discount_percentage,discount_amount,sales_amount,profit_margin,profit_amount,tax_rate,tax_amount,shipping_cost,shipping_method,total_amount,payment_method,delivery_time_days,order_status,rating,is_repeat_customer,order_year,order_month,order_quarter,order_day_of_week
0,0,ORD100722,2020-01-01,2020-01-04,CUST10257,Vikram Kumar,56,Female,Corporate,Central,Madhya Pradesh,Indore,PROD9221,Local Publishers Comics,Books,Comics,Local Publishers,495.34,1,10,49.53,445.8,0.448,199.71,0.12,53.5,56.65,Standard,555.95,Credit Card,3,Delivered,4.5,No,2020,1,Q1,Wednesday
1,1,ORD100766,2020-01-14,2020-01-15,CUST10171,Kavita Kumar,57,Male,Consumer,West,Gujarat,Vadodara,PROD6296,Oxford Self-Help,Books,Self-Help,Oxford,1313.37,4,0,0.0,5253.49,0.439,2306.35,0.12,630.42,125.12,Express,6009.03,Debit Card,1,Delivered,5.0,No,2020,1,Q1,Tuesday
2,2,ORD100379,2020-01-17,,CUST10079,Divya Kulkarni,24,Female,Consumer,North,Punjab,Amritsar,PROD2195,Nilkamal Study Tables,Furniture,Study Tables,Nilkamal,25174.95,4,25,25174.95,75524.85,0.1664,12567.67,0.12,9062.98,0.0,Standard,84587.83,Net Banking,7,Processing,,No,2020,1,Q1,Friday
3,3,ORD100031,2020-01-19,2020-01-23,CUST10152,Kavita Reddy,64,Female,Consumer,Central,Madhya Pradesh,Indore,PROD9901,Puma Jackets,Clothing,Jackets,Puma,2906.0,4,0,0.0,11624.01,0.3756,4366.35,0.12,1394.88,128.97,Standard,13147.86,UPI,4,Delivered,4.0,No,2020,1,Q1,Sunday
4,4,ORD100960,2020-01-26,2020-01-29,CUST10164,Rahul Verma,62,Male,Consumer,South,Telangana,Hyderabad,PROD4385,Hometown Curtains,Home Decor,Curtains,Hometown,8735.04,3,5,1310.26,24894.87,0.2495,6211.2,0.12,2987.38,142.58,Standard,28024.83,Credit Card,3,Delivered,4.5,No,2020,1,Q1,Sunday
5,5,ORD100926,2020-01-26,,CUST10132,Meera Chopra,29,Male,Consumer,East,West Bengal,Durgapur,PROD2624,Adidas Jeans,Clothing,Jeans,Adidas,2310.99,1,20,462.2,1848.79,0.254,469.51,0.12,221.86,169.59,Express,2240.24,Wallet,2,Delivered,3.5,No,2020,1,Q1,Sunday
6,6,ORD100074,2020-01-26,2020-01-26,CUST10241,Rajesh Joshi,62,Female,Home Office,East,Assam,Guwahati,PROD7870,IKEA Sofa Sets,Furniture,Sofa Sets,IKEA,25287.68,1,25,6321.92,18965.76,0.1638,3106.48,0.12,2275.89,284.67,Same Day,21526.32,Net Banking,0,Delivered,5.0,No,2020,1,Q1,Sunday
7,7,ORD100160,2020-01-27,2020-01-30,CUST10106,Amit Kulkarni,28,Female,Consumer,West,Maharashtra,Pune,PROD7814,Milton Cookware,Kitchen,Cookware,Milton,10756.53,3,0,0.0,32269.6,0.2302,7428.51,0.18,5808.53,0.0,Express,38078.13,Debit Card,3,Delivered,4.0,No,2020,1,Q1,Monday
8,8,ORD100890,2020-01-28,2020-01-29,CUST10243,Kavita Chopra,26,Female,Consumer,North,Uttar Pradesh,Lucknow,PROD8645,Prestige Storage,Kitchen,Storage,Prestige,9999.29,2,0,0.0,19998.58,0.2474,4947.61,0.18,3599.74,181.12,Same Day,23779.44,Wallet,1,Delivered,,No,2020,1,Q1,Tuesday
9,9,ORD100383,2020-01-30,2020-01-30,CUST10077,Rahul Kulkarni,31,Male,Consumer,West,Maharashtra,Pune,PROD7658,Puma T-Shirts,Clothing,T-Shirts,Puma,1755.33,3,30,1579.8,3686.2,0.309,1139.22,0.12,442.34,265.68,Same Day,4394.22,Debit Card,0,Delivered,4.0,No,2020,1,Q1,Thursday
10,10,ORD100507,2020-02-02,,CUST10140,Pooja Joshi,53,Male,Home Office,East,West Bengal,Kolkata,PROD1151,IKEA Dining Tables,Furniture,Dining Tables,IKEA,17852.02,1,15,2677.8,15174.22,0.2308,3501.5,0.12,1820.91,128.26,Standard,17123.38,Net Banking,6,Shipped,,No,2020,2,Q1,Sunday
11,11,ORD100812,2020-02-03,2020-02-04,CUST10083,Karan Nair,48,Male,Consumer,South,Tamil Nadu,Coimbatore,PROD8198,Apple Tablets,Electronics,Tablets,Apple,2497.68,3,25,1873.26,5619.77,0.0511,287.14,0.18,1011.56,170.32,Same Day,6801.65,Credit Card,1,Delivered,3.0,No,2020,2,Q1,Monday
12,12,ORD100650,2020-02-04,2020-02-14,CUST10269,Sneha Joshi,63,Male,Consumer,South,Tamil Nadu,Chennai,PROD3005,Apple Tablets,Electronics,Tablets,Apple,2635.18,1,20,527.04,2108.14,0.0899,189.42,0.18,379.47,78.11,Economy,2565.72,Net Banking,10,Delivered,5.0,No,2020,2,Q1,Tuesday
13,13,ORD100943,2020-02-04,,CUST10061,Kavita Verma,60,Male,Consumer,West,Maharashtra,Nagpur,PROD5334,Pepperfry Wardrobes,Furniture,Wardrobes,Pepperfry,29607.05,1,20,5921.41,23685.64,0.1806,4278.16,0.12,2842.28,150.1,Express,26678.02,Credit Card,2,Shipped,,No,2020,2,Q1,Tuesday
14,14,ORD100543,2020-02-05,2020-02-09,CUST10086,Neha Joshi,36,Male,Corporate,East,Odisha,Bhubaneswar,PROD1096,Pepperfry Sofa Sets,Furniture,Sofa Sets,Pepperfry,37353.43,2,20,14941.37,59765.49,0.2178,13016.61,0.12,7171.86,0.0,Standard,66937.35,Credit Card,4,Delivered,1.5,No,2020,2,Q1,Wednesday
15,15,ORD100284,2020-02-08,2020-02-15,CUST10061,Kavita Verma,60,Male,Consumer,Central,Madhya Pradesh,Bhopal,PROD8278,Adidas Jeans,Clothing,Jeans,Adidas,971.45,2,5,97.15,1845.76,0.3689,680.93,0.12,221.49,142.72,Standard,2209.97,Credit Card,7,Delivered,4.0,No,2020,2,Q1,Saturday
16,16,ORD100170,2020-02-09,2020-02-16,CUST10149,Kavita Banerjee,48,Female,Consumer,West,Maharashtra,Pune,PROD6168,Penguin Cooking,Books,Cooking,Penguin,829.06,2,0,0.0,1658.12,0.3798,629.81,0.12,198.97,76.11,Economy,1933.21,Debit Card,7,Delivered,,No,2020,2,Q1,Sunday
17,17,ORD100084,2020-02-10,,CUST10269,Sneha Joshi,63,Male,Consumer,West,Maharashtra,Pune,PROD6582,HarperCollins Non-Fiction,Books,Non-Fiction,HarperCollins,1131.02,5,20,1131.02,4524.08,0.3188,1442.41,0.12,542.89,104.53,Standard,5171.49,EMI,5,Cancelled,,No,2020,2,Q1,Monday
18,18,ORD100852,2020-02-10,,CUST10062,Rahul Gupta,64,Female,Corporate,North,Uttar Pradesh,Kanpur,PROD9726,Samsung Laptops,Electronics,Laptops,Samsung,638.26,2,10,127.65,1148.86,0.0535,61.43,0.18,206.79,235.32,Same Day,1590.97,Net Banking,1,Shipped,,No,2020,2,Q1,Monday
19,19,ORD100602,2020-02-12,2020-02-13,CUST10256,Vikram Nair,60,Male,Home Office,Central,Madhya Pradesh,Indore,PROD8685,UrbanLadder Dining Tables,Furniture,Dining Tables,UrbanLadder,20005.02,1,20,4001.0,16004.02,0.2241,3586.35,0.12,1920.48,136.87,Express,18061.37,Credit Card,1,Delivered,,No,2020,2,Q1,Wednesday
20,20,ORD100825,2020-02-12,,CUST10086,Neha Joshi,36,Male,Corporate,North,Delhi,Delhi,PROD3642,Puma Jeans,Clothing,Jeans,Puma,2971.66,1,5,148.58,2823.08,0.4094,1155.76,0.12,338.77,109.5,Standard,3271.35,Credit Card,7,Shipped,,No,2020,2,Q1,Wednesday
21,21,ORD100188,2020-02-16,2020-02-19,CUST10295,Sneha Sharma,53,Female,Consumer,East,Bihar,Gaya,PROD5532,Godrej Dining Tables,Furniture,Dining Tables,Godrej,48985.24,3,15,22043.36,124912.35,0.1808,22585.49,0.12,14989.48,0.0,Standard,139901.84,Cash on Delivery,3,Delivered,4.5,No,2020,2,Q1,Sunday
